"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 09 18:37:42 EEST 2022","Sat Jul 09 18:37:45 EEST 2022","2312","","EnterTest","","EnterTest","enterViaRestorePasswordTest","enterViaRestorePasswordTest",""
"passed","Sat Jul 09 18:38:21 EEST 2022","Sat Jul 09 18:38:30 EEST 2022","9213","","RedirectTest","","RedirectTest","fromAccountToConstructorViaConstructorLinkTest","fromAccountToConstructorViaConstructorLinkTest",""
"passed","Sat Jul 09 18:37:56 EEST 2022","Sat Jul 09 18:38:02 EEST 2022","6028","","EnterTest","","EnterTest","enterAccountLinkTest","enterAccountLinkTest",""
"passed","Sat Jul 09 18:37:50 EEST 2022","Sat Jul 09 18:37:56 EEST 2022","5973","","EnterTest","","EnterTest","enterAccountViaRegistrationTest","enterAccountViaRegistrationTest",""
"passed","Sat Jul 09 18:37:33 EEST 2022","Sat Jul 09 18:37:41 EEST 2022","8373","","RegistrationTest","","RegistrationTest","incorrectPasswordErrorTest","incorrectPasswordErrorTest",""
"passed","Sat Jul 09 18:38:02 EEST 2022","Sat Jul 09 18:38:09 EEST 2022","6131","","RedirectTest","","RedirectTest","enterAccountTest","enterAccountTest",""
"passed","Sat Jul 09 18:38:30 EEST 2022","Sat Jul 09 18:38:34 EEST 2022","4613","","IgredientsTabTest","","IgredientsTabTest","fillingTabTest","fillingTabTest",""
"passed","Sat Jul 09 18:38:09 EEST 2022","Sat Jul 09 18:38:15 EEST 2022","6420","","RedirectTest","","RedirectTest","fromAccountToConstructorViaLogoLinkTest","fromAccountToConstructorViaLogoLinkTest",""
"passed","Sat Jul 09 18:38:15 EEST 2022","Sat Jul 09 18:38:21 EEST 2022","5536","","RedirectTest","","RedirectTest","logoutFromAccountTest","logoutFromAccountTest",""
"passed","Sat Jul 09 18:37:41 EEST 2022","Sat Jul 09 18:37:42 EEST 2022","1181","","RegistrationTest","","RegistrationTest","registrationTest","registrationTest",""
"passed","Sat Jul 09 18:37:45 EEST 2022","Sat Jul 09 18:37:50 EEST 2022","5725","","EnterTest","","EnterTest","enterAccountButtonTest","enterAccountButtonTest",""
"passed","Sat Jul 09 18:38:35 EEST 2022","Sat Jul 09 18:38:36 EEST 2022","666","","IgredientsTabTest","","IgredientsTabTest","bunsTabTest","bunsTabTest",""
"passed","Sat Jul 09 18:38:34 EEST 2022","Sat Jul 09 18:38:35 EEST 2022","656","","IgredientsTabTest","","IgredientsTabTest","sauceTabTest","sauceTabTest",""
